Month,Day,Hour,DayOfWeek,Holiday,Power,Temperature, 
1,27,2,5,0,61.0527,18.55, 
1,27,3,5,0,60.2954,15.865, 
1,27,4,5,0,59.1408,14.635, 
1,27,5,5,0,61.3643,12, 
1,27,6,5,0,68.1812,12.6, 
1,27,7,5,0,81.973,15.865, 
1,27,8,5,0,86.4176,15.4, 
1,27,9,5,0,85.1189,17.82, 
1,27,10,5,0,84.7244,22.665, 
1,27,11,5,0,87.197,27.45, 
1,27,12,5,0,83.7951,30.135, 
1,27,13,5,0,79.7351,31.23, 
1,27,14,5,0,80.3937,33.4, 
1,27,15,5,0,79.816,34.935, 
1,27,16,5,0,79.3417,33.7, 
1,27,17,5,0,83.9841,32, 
1,27,18,5,0,84.9194,31.835, 
1,27,19,5,0,83.1824,30.765, 
1,27,20,5,0,79.912,30, 
1,27,21,5,0,75.9738,30.03, 
1,27,22,5,0,70.8769,29.66, 
1,27,23,5,0,66.4238,26.525, 
1,27,24,5,0,62.3947,26.52, 
1,28,1,6,0,59.8576,29.965, 
1,28,2,6,0,58.1667,36.15, 
1,28,3,6,0,57.3175,37, 
1,28,4,6,0,56.7831,37, 
1,28,5,6,0,57.4264,37.3, 
1,28,6,6,0,59.4749,38.7, 
1,28,7,6,0,63.7228,37.6, 
1,28,8,6,0,68.1069,41, 
1,28,9,6,0,72.3511,41.3, 
1,28,10,6,0,75.2644,43.165, 
1,28,11,6,0,75.9528,44.235, 
1,28,12,6,0,74.0864,45.45, 
1,28,13,6,0,71.5317,48.3, 
1,28,14,6,0,69.1356,50, 
1,28,15,6,0,68.2283,50, 
